11963;Всёдлябритья68;GILLETTE TGS Гель для брит (для чув.кож) с алоэ 200мл;479.0
11962;Всёдлябритья68;GILLETTE TGS Пена для брит (для чув.кож) с алоэ 250мл;328.0
11332;Всёдлябритья68;Сменные кассеты для бритья Venus 2шт 1/20;804.0
11331;Всёдлябритья68;Сменные кассеты для бритья  Gillette SkinGuard Sensitive  6 штук цвет синий;2041.0
11330;Всёдлябритья68;GILLETTE SKINGUARD Sensitive Сменные касс.для брит 4шт;1991.0
11329;Всёдлябритья68;GILLETTE SKINGUARD Sensitive Сменные касс для брит 2шт;1812.0
11328;Всёдлябритья68;Сменные кассеты для бритья Venus Embrace 4шт 1/20;1765.0
8041;Всёдлябритья68;Gillette Blue II стан однор.Max 2 лезвия (4шт);318.0
8038;Всёдлябритья68;Бритва Gillette Fusin Бритва 1 сменной кассетой;702.0
8036;Всёдлябритья68;Бритва Gillette Venus c 1 сменной кассетой 1/36;709.0
8035;Всёдлябритья68;Сменные кассеты для бритья Gillette Fusion 2шт 1/20;1056.0
8034;Всёдлябритья68;Бритва Gillette Fusion ProGlide Flexball c 1 сменной кассетой 1/24;814.0
8027;Всёдлябритья68;Бритвы Gillette Simply Venus2 одноразовые для женщин 2шт;164.0
8026;Всёдлябритья68;Бритвы Gillette Simply Venus2 одноразовые для женщин 4шт;366.0
8025;Всёдлябритья68;Бритвы Gillette Blue II одноразовые 10шт;473.0
8024;Всёдлябритья68;Сменные кассеты для бритья Gillette Fusion 4шт;1875.0
8020;Всёдлябритья68;Сменные кассеты для бритья Gillette Fusion Power 8шт;3576.0
8018;Всёдлябритья68;GILLETTE SKINGUARD Sensitive Бритва с 1 смен.касс;1096.0
8014;Всёдлябритья68;Бритва Gillette Mach3 c 1 сменной кассетой;450.0
8013;Всёдлябритья68;Сменные кассеты для бритья Gillette Mach3 4шт 1/20;1339.0
8012;Всёдлябритья68;Бритва Gillette Mach3 c 2 сменными кассетами;557.0
8010;Всёдлябритья68;Сменные кассеты для бритья Gillette Mach3 2шт;898.0
8007;Всёдлябритья68;Сменные кассеты для бритья Gillette Fusion ProGlide 2шт 1/40;1292.0
6697;Всёдлябритья68;Nivea Men Лосьон п/бритья  ULTRA  100мл 1/24;498.0
6696;Всёдлябритья68;Nivea Men Пена д/бритья  д/чувств.кожи  200мл 1/12;243.0
5984;Всёдлябритья68;Nivea Men Гель д/бритья  Черный ULTRA  200мл 1/12;364.0
2511;Всёдлябритья68;Пена д/бритья Жиллетт сенсетив (для чувствительной кожи) 200мл 1/6;237.0
