7910;Вискас28;Вискас 75г желе говядина/янгенок 1/28;34.0
7906;Вискас28;Вискас 75г д/котят паштет с курицей 1/24;34.0
7905;Вискас28;Вискас 75г рагу форель/лосось 1/28;34.0
7904;Вискас28;Вискас 75г рагу треска/лосось 1/28;34.0
7903;Вискас28;Вискас 75г рагу с телятиной 1/28;34.0
7902;Вискас28;Вискас 75г рагу с курицей 1/28;34.0
7901;Вискас28;Вискас 75г рагу индейка/кролик 1/28;34.0
7900;Вискас28;Вискас 75г рагу говядина/ягненок 1/28;34.0
7899;Вискас28;Вискас 75г паштет с уткой 1/24;34.0
7898;Вискас28;Вискас 75г паштет курица/индейка 1/24;34.0
7897;Вискас28;Вискас 75г паштет индейка/кролик 1/28 1/24;34.0
7896;Вискас28;Вискас 75г паштет говядина/печень 1/24;34.0
7895;Вискас28;Вискас 75г микс слив.соус лос/кревет 1/28;34.0
7894;Вискас28;Вискас 75г микс рагу утка/печень в мяс.соусе 1/28;35.0
7893;Вискас28;Вискас 75г микс рагу кур/утка в сыр.соусе 1/28;34.0
7892;Вискас28;Вискас 75г желе с лососем 1/28;33.0
7891;Вискас28;Вискас 75г желе с курицей 1/28;34.0
7890;Вискас28;Вискас 75г желе курица/индейка 1/28;34.0
7889;Вискас28;Вискас 75г желе говядина/кролик 1/28;34.0
7887;Вискас28;Вискас 75г рагу с курицей для кошек 7+ 1/28;34.0
7885;Вискас28;Вискас 75г д/котят рагу курица 1/28;34.0
7883;Вискас28;Вискас 75г Meaty с лососем 1/28;33.0
7882;Вискас28;Вискас 75г Meaty с курицей 1/28;33.0
7881;Вискас28;Вискас 75г Meaty кролик 1/28;33.0
7880;Вискас28;Вискас 75г Meaty говядина 1/28;33.0
